Netbeheerder;Klanttype;Contracttype;Tarieftype;Tariefdetail;Tariefnotering;Prijs
FI;ELEK_HS1;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;39.4778064
FI;ELEK_HS1;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;3.8726519
FI;ELEK_HS1;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;46.4718228
FI;ELEK_HS1;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;4.9347258
FI;ELEK_HS1;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;59.2167096
FI;ELEK_HS1;Afname;Tarieven voor de aanvullende afname van reactieve energie;Tarief voor overschrijding forfaitair toegelaten hoeveelheid;EUR/kVArh;0.0134149
FI;ELEK_HS1;Afname;Tarieven voor het databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FI;ELEK_HS1;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0003588
FI;ELEK_HS1;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0000169
FI;ELEK_HS1;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.0596319
FI;ELEK_HS1;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FI;ELEK_HS1;Injectie;Tarief databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FI;ELEK_HS2;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;3.0088265
FI;ELEK_HS2;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;36.1059180
FI;ELEK_HS2;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;4.5190749
FI;ELEK_HS2;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;54.2288988
FI;ELEK_HS2;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;4.5132398
FI;ELEK_HS2;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;54.1588776
FI;ELEK_HS2;Afname;Tarieven voor de aanvullende afname van reactieve energie;Tarief voor overschrijding forfaitair toegelaten hoeveelheid;EUR/kVArh;0.0134149
FI;ELEK_HS2;Afname;Tarieven voor het databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FI;ELEK_HS2;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0037033
FI;ELEK_HS2;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0002193
FI;ELEK_HS2;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.1508082
FI;ELEK_HS2;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FI;ELEK_HS2;Injectie;Tarief databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FI;ELEK_MS1;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;3.2898172
FI;ELEK_MS1;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;39.4778064
FI;ELEK_MS1;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;3.8726519
FI;ELEK_MS1;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;46.4718228
FI;ELEK_MS1;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;4.9347258
FI;ELEK_MS1;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;59.2167096
FI;ELEK_MS1;Afname;Tarieven voor de aanvullende afname van reactieve energie;Tarief voor overschrijding forfaitair toegelaten hoeveelheid;EUR/kVArh;0.0134149
FI;ELEK_MS1;Afname;Tarieven voor het databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FI;ELEK_MS1;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0003588
FI;ELEK_MS1;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0000169
FI;ELEK_MS1;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.0596319
FI;ELEK_MS1;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FI;ELEK_MS1;Injectie;Tarief databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FI;ELEK_MS2;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;3.0088265
